,count_A,count_B,ratio_A,ratio_B,log2_fold
DHI,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
DHS,16,3,7.820278275313899e-06,1.4663021770184795e-06,2.4150374988881143
DHT,66,13,3.2258647884142435e-05,6.3539760987841865e-06,2.343954401128244
DID,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
DIH,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
DII,1,1,4.887673926653382e-07,4.887673926653382e-07,0.0
DSB,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
DSC,364,106,0.00017791133075276052,5.1809343571205263e-05,1.7798741856258504
DSD,200,25,9.775347843580291e-05,1.2219184804903036e-05,2.9999999999495057
DSE,24,4,1.1730417412726465e-05,1.9550695691950503e-06,2.5849625004205947
DSH,48,7,2.346083482496416e-05,3.4213717457247623e-06,2.777607578487509
DSS,87,14,4.252276311985042e-05,6.842743490960758e-06,2.6355885737046574
DST,43,2,2.1016997864081305e-05,9.77534784841909e-07,4.426264754014301
DTC,651,775,0.0003181875723074363,0.0003787947289373311,-0.2515387669956098
DTD,433,162,0.00021163628081294388,7.918031753309321e-05,1.4183732118365266
DTE,31,8,1.515178915796246e-05,3.910139137901333e-06,1.954196310253077
DTG,14,8,6.842743490960758e-06,3.910139137901333e-06,0.8073549219803171
DTH,55,25,2.6882206570200155e-05,1.2219184804903036e-05,1.1375035237184579
DTS,147,114,7.184880665044466e-05,5.5719482708617835e-05,0.3667823306687817
DTT,248,73,0.00012121431326027831,3.5680019629378435e-05,1.764371751492912
EBC,24,0,1.1730417412726465e-05,4.887673921765707e-16,34.48231535476753
EBE,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
EBH,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
EBT,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
ECB,24,1,1.1730417412726465e-05,4.887673926653382e-07,4.584962499338573
ECC,23689,31599,0.011578410753271273,0.015444560825387947,-0.4156616043850406
ECD,473,406,0.0002311869765000067,0.00019843956122417647,0.22036045615371574
ECE,2005,3308,0.0009799786213145131,0.0016168425333205848,-0.7223569978287085
ECG,646,159,0.00031574373534655345,7.771401535656351e-05,2.022507399402729
ECH,1730,1536,0.0008455675884659561,0.0007507467143837014,0.17159382180282517
ECS,6067,1927,0.0029653517683357437,0.0009418547647247406,1.6546267397366847
ECT,8802,6848,0.004302130585938664,0.003347079101625645,0.3621486699933524
EDC,193,119,9.433210669056691e-05,5.816331966950069e-05,0.6976392739554883
EDD,431,313,0.00021065874602859075,0.0001529841937517554,0.46152521215521797
EDE,124,49,6.060715663038354e-05,2.3949602217140732e-05,1.339486466253859
EDH,18,3,8.79781305966704e-06,1.4663021770184795e-06,2.5849625003204073
EDS,26,5,1.2707952197079606e-05,2.4438369613716212e-06,2.3785116230206786
EDT,53,20,2.5904671785847014e-05,9.775347844020181e-06,1.4059923596309227
EEB,18,0,8.79781305966704e-06,4.887673921765707e-16,34.06727785550872
EEC,39316,39141,0.01921637879081454,0.019130844497183642,0.006435934355324433
EED,473,321,0.0002311869765000067,0.00015689433288916795,0.5592668862156479
EEE,190754,193459,0.09323433512725006,0.09455645092308768,-0.020314536808680332
EEG,556,74,0.00027175467005066206,3.6168787021555006e-05,2.9094877070776564
EEH,1072,1898,0.0005239586444137726,0.00092768051035162,-0.8241750865627511
EES,5248,1431,0.0025650512741431323,0.0006994261382051615,1.874744047890683
EET,6909,6021,0.003376893912548416,0.0029428684682956214,0.19847379443019744
EGC,1,5,4.887673926653382e-07,2.4438369613716212e-06,-2.3219280937332063
EGE,0,4,4.887673921765707e-16,1.9550695691950503e-06,-31.897352854346934
EGG,512,59,0.000250248904794893,2.8837276138906438e-05,3.117356950616524
EGH,11,8,5.376441314431045e-06,3.910139137901333e-06,0.45943161858811454
EGS,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
EGT,46,5,2.248330004061102e-05,2.4438369613716212e-06,3.2016338609124744
EHC,74,371,3.6168787021555006e-05,0.0001813327024979965,-2.3258220109762457
EHD,15,14,7.331510883137328e-06,6.842743490960758e-06,0.09953567354404427
EHE,115,492,5.6208250100794405e-05,0.00024047355695136155,-2.0970244543852514
EHG,10,1,4.887673922254475e-06,4.887673926653382e-07,3.321928093588937
EHH,1085,1970,0.000530312620512068,0.0009628717625883331,-0.8605005870112998
EHS,13,3,6.3539760987841865e-06,1.4663021770184795e-06,2.1154772170500142
EHT,32,164,1.564055655013903e-05,8.015785231744636e-05,-2.3575520045817964
ESB,4,0,1.9550695691950503e-06,4.887673921765707e-16,31.897352854346934
ESC,2066,667,0.0010097934322372839,0.00032600785058226143,1.63108158767901
ESD,43,4,2.1016997864081305e-05,1.9550695691950503e-06,3.426264754374975
ESE,515,137,0.0002517152069714227,6.696113272867896e-05,1.9103965391023248
ESG,49,2,2.3949602217140732e-05,9.77534784841909e-07,4.614709843423303
ESH,100,22,4.887673921814584e-05,1.0752882628373324e-05,2.1844245710862773
ESS,2312,502,0.0011300302107127202,0.00024536123087312724,2.203382128547657
EST,517,150,0.00025269274175577583,7.331510882697437e-05,1.7852017798122264
ETC,263,809,0.00012854582414292687,0.00039541282027133446,-1.6210769031339727
ETD,39,5,1.9061928295375023e-05,2.4438369613716212e-06,2.963474123723339
ETE,116,389,5.6697017492970976e-05,0.00019013051555717478,-1.7456453498498914
ETG,29,3,1.4174254373609318e-05,1.4663021770184795e-06,3.2730184939752656
ETH,59,24,2.8837276138906438e-05,1.1730417412726465e-05,1.2976805486050251
ETS,235,457,0.00011486033716198288,0.00022336669822518157,-0.9595334084900878
ETT,6530,4645,0.0031916510709134958,0.00227032453666066,0.4914043951636881
GBB,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
GBC,82,1,4.007892615896757e-05,4.887673926653382e-07,6.357552003192982
GBE,12,0,5.865208706607616e-06,4.887673921765707e-16,33.48231535482764
GBS,7,0,3.4213717457247623e-06,4.887673921765707e-16,32.70470777624996
GBT,6,0,2.9326043535481918e-06,4.887673921765707e-16,32.482315354947865
GCB,9,1,4.398906530077904e-06,4.887673926653382e-07,3.1699250001599166
GCC,2279,1579,0.0011139008867708934,0.000771763712247294,0.5293897534047793
GCD,19,13,9.28658045184361e-06,6.3539760987841865e-06,0.5474877952674481
GCE,334,120,0.0001632483089874634,5.865208706167726e-05,1.4768136968578307
GCG,39,22,1.9061928295375023e-05,1.0752882628373324e-05,0.8259706001963659
GCH,163,105,7.966908492526979e-05,5.132057617902869e-05,0.6344826365600658
GCS,255,35,0.0001246356850055143,1.710685872666874e-05,2.8650704198783297
GCT,278,121,0.0001358773350255754,5.914085445385383e-05,1.2000778354421793
GDB,1,0,4.887673926653382e-07,4.887673921765707e-16,29.897352855428956
GDC,44,12,2.1505765256257876e-05,5.865208706607616e-06,1.8744691178287047
GDD,71,16,3.470248484502529e-05,7.820278275313899e-06,2.149747119434833
GDG,12,2,5.865208706607616e-06,9.77534784841909e-07,2.584962500120033
GDH,8,1,3.910139137901333e-06,4.887673926653382e-07,2.9999999987376413
GDS,5,0,2.4438369613716212e-06,4.887673921765707e-16,32.21928094916216
GDT,35,5,1.710685872666874e-05,2.4438369613716212e-06,2.8073549218102847
GEC,49,17,2.3949602217140732e-05,8.30904566749047e-06,1.5272470028094471
GED,2,0,9.77534784841909e-07,4.887673921765707e-16,30.89735285470761
